('HSTO, 1.4100')
('HT, 8.20')
('HTBK, 9.30')
('HTBX, 7.51')
('HTGM, 6.68')
('HTOOW, 8.43')
('HTY, 5.70')
('HUDI, 6.18')
('HUGE, 2.2500')
('HUIZ, 6.95')
('HUSN, 4.1500')
('HWCC, 3.8800')
('HX, 2.5700')
('HYB, 8.95')
('HYMC, 7.58')
('HYMCL, 1.8200')
('HYMCW, 1.2200')
('HYMCZ, 0.5100')
('HZN, 9.63')
('IAE, 9.39')
('IAG, 3.4900')
('ICD, 4.1400')
('ICL, 5.35')
('ICMB, 5.10')
('ICON, 2.9100')
('IDEX, 5.05')
('IDRA, 5.39')
('IDXG, 4.95')
('IEAWW, 0.2100')
('IFMK, 1.1800')
('IFRX, 5.82')
('IGA, 8.83')
('IGACW, 1.9700')
('IGD, 5.31')
('IGIC, 7.92')
('IGICW, 0.4000')
('IGR, 7.20')
('IHD, 7.88')
('IHIT, 9.07')
('IHTA, 9.18')
('IID, 5.24')
('III, 3.6900')
('IIIIW, 1.8500')
('IKT, 7.33')
('IMAC, 2.1100')
('IMACW, 0.3000')
('IMBI, 6.49')
('IMGN, 7.80')
('IMMP, 3.2200')
('IMRN, 7.47')
('IMRNW, 1.8000')
('IMTE, 5.02')
('IMTXW, 2.5900')
('IMV, 4.4200')
('INAQW, 5.09')
('INFI, 4.44')
('ING, 9.36')
('INM, 4.6000')
('INN, 9.06')
('INOD, 6.70')
('INPX, 1.7500')
('INSE, 6.80')
('INVE, 9.81')
('INVO, 3.2100')
('IO, 2.9700')
('IPDN, 2.9400')
('IPHA, 4.5700')
('IRIX, 5.12')
('IRR, 2.8700')
('IRS, 4.2500')
('ISEE, 5.66')
('ISIG, 8.31')
('ISNS, 5.20')
('ISSC, 6.99')
('ITACW, 1.3900')
('ITCB, 5.48')
('ITI, 6.00')
('ITRM, 1.4100')
('ITUB, 5.25')
('IVAC, 6.79')
('IVR, 3.8300')
('IZEA, 5.05')
('JAGX, 2.7700')
('JAKK, 8.88')
('JAN, 8.50')
('JAX, 7.62')
('JCO, 8.24')
('JCS, 5.42')
('JCTCF, 9.85')
('JDD, 8.86')
('JE, 7.52')
('JEMD, 7.80')
