('TCDA, 7.40')
('TEF, 4.6200')
('TELL, 3.3900')
('TEO, 6.62')
('TGS, 5.09')
('TK, 2.7300')
('TKC, 5.85')
('TLMD, 7.94')
('TLSA, 4.0800')
('TMST, 5.49')
('TNAV, 4.7800')
('TNP, 8.87')
('TOUR, 2.8000')
('TPRE, 9.87')
('TREC, 7.17')
('TRIB, 5.86')
('TRST, 6.55')
('TRUE, 5.00')
('TRVG, 2.6600')
('TRVN, 2.6600')
('TTI, 2.2000')
('TTNP, 3.7500')
('TTOO, 3.2500')
('TURN, 6.90')
('TUSK, 4.5100')
('TV, 8.13')
('TWI, 7.50')
('TWIN, 8.60')
('TWO, 6.27')
('TXMD, 2.2370')
('TYME, 2.4700')
('UBX, 8.10')
('UEPS, 4.6835')
('UGP, 4.4000')
('UIHC, 5.59')
('ULBI, 6.61')
('UMC, 9.53')
('USAT, 9.78')
('USX, 8.51')
('UTI, 6.51')
('UTSI, 2.0600')
('UXIN, 1.4700')
('VBIV, 3.8951')
('VBLT, 2.5000')
('VCNX, 3.1600')
('VEDL, 9.70')
('VEON, 1.6900')
('VET, 5.0200')
('VHC, 6.75')
('VIV, 8.99')
('VKTX, 9.67')
('VNTR, 4.1100')
('VOC, 2.7100')
('VRA, 9.08')
('VRAY, 5.10')
('VRNA, 8.62')
('VSTM, 2.3800')
('VTNR, 2.0750')
('VXRT, 8.12')
('VYGR, 7.55')
('WATT, 3.9800')
('WETF, 5.49')
('WIT, 6.43')
('WMC, 3.0800')
('WNEB, 7.16')
('WPX, 9.11')
('WSR, 8.35')
('WTI, 2.7200')
('WTRH, 4.0300')
('WTTR, 6.09')
('WWR, 9.42')
('XAIR, 6.50')
('XAN, 3.9400')
('XERS, 7.34')
('XIN, 2.3800')
('XNET, 5.87')
('XSPA, 2.1983')
('YPF, 4.2900')
('YRCW, 5.46')
('YRD, 4.1200')
('ZAGG, 4.2600')
('ZIOP, 5.22')
('ZIXI, 9.84')
('ZVO, 5.63')
('ZYNE, 5.38')
